DEPT,GR,NPHI,RDEEP,RHOB
2004.06,77.35295868,0.357516855,3.388376474,2.265000105
2004.2124,68.34823608,0.327250719,4.052155495,2.272000074
2004.3648,65.12544251,0.311791927,4.504463196,2.328999996
2004.5172,63.35723877,0.265213639,4.400659561,2.361999989
2004.6696,68.61961365,0.257976681,3.929752111,2.286000013
2004.822,70.84439087,0.292351157,3.077816963,2.299999952
2004.9744,71.84382629,0.342127472,2.649086714,2.299999952
2005.1268,69.79212189,0.406027973,2.590993643,2.299999952
2005.2792,71.09587097,0.446139514,2.580543518,2.299999952
2005.4316,74.93197632,0.473954588,2.728967905,2.289000034
2005.584,74.43170166,0.475617826,2.856156111,2.345000029
2005.7364,77.37152863,0.472433031,2.807455063,2.25
2005.8888,77.76122284,0.458738416,2.712535858,2.24000001
2006.0412,80.82579804,0.436431766,2.755037785,2.255000114
2006.1936,80.31551361,0.399708271,2.847136974,2.315999985
2006.346,78.26532745,0.418073624,3.02336669,2.299999952
2006.4984,77.825737,0.404771119,2.926977634,2.299999952
2006.6508,72.05158997,0.435908884,2.895830631,2.299999952
2006.8032,70.73259735,0.386096418,3.003515005,2.299999952
2006.9556,69.66401672,0.404491305,3.026534557,2.299999952
2007.108,74.1608429,0.374401391,3.183056355,2.286000013
2007.2604,76.04368591,0.394366145,3.278250217,2.316999912
2007.4128,81.61037445,0.375567168,3.122034311,2.321000099
2007.5652,78.05519867,0.37749663,2.997173786,2.303999901
2007.7176,80.14309692,0.37738803,2.967909813,2.302000046
2007.87,72.49520111,0.393482626,2.989187956,2.299999952
2008.0224,75.53927612,0.400451243,3.094713926,2.303999901
2008.1748,72.91168213,0.401640028,3.128880978,2.316999912
2008.3272,74.93656158,0.408888638,3.103982449,2.351999998
2008.4796,71.9965744,0.407292157,3.052098036,2.437000036
2008.632,72.5872879,0.418486118,3.049389362,2.46600008
2008.7844,72.71747589,0.394746721,3.010073423,2.473999977
2008.9368,75.50245667,0.40663901,2.968910933,2.415999889
2009.0892,74.3747406,0.396840155,3.020525456,2.355999947
2009.2416,76.29624939,0.419332326,3.064518929,2.308000088
2009.394,76.45205689,0.434405744,3.084335327,2.303999901
2009.5464,78.89502716,0.426802427,3.152331114,2.299999952
2009.6988,76.87189484,0.430222809,3.187602282,2.296000004
2009.8512,76.10398102,0.396364301,3.192901611,2.301000118
2010.0036,75.36160278,0.393392205,3.195038796,2.309999943
2010.156,77.30821991,0.383782089,3.293817759,2.309999943
2010.3084,78.33081818,0.437688619,3.054866314,2.299000025
2010.4608,78.33129883,0.468448907,2.95319891,2.296000004
2010.6132,76.51316834,0.4484047,2.951390266,2.299000025
2010.7656,75.31389618,0.40087682,2.914899588,2.306999922
2010.918,77.70387268,0.366099715,2.914231777,2.305000067
2011.0704,77.2203064,0.366702855,3.069266796,2.301000118
2011.2228,79.36817932,0.363996774,3.011746407,2.29399991
2011.3752,80.26454163,0.407370418,3.061194897,2.306999922
2011.5276,81.59790039,0.41401121,3.246495962,2.296999931
2011.68,76.5570755,0.398680389,3.241875172,2.273999929
2011.8324,78.4734726,0.352263421,3.186574459,2.262000084
2011.9848,76.62866211,0.36057654,3.277444124,2.279000044
2012.1372,83.58107758,0.40025118,3.391384602,2.309000015
2012.2896,80.7694397,0.416900039,3.370994806,2.325000048
2012.442,85.34540558,0.403118491,3.354862928,2.332999945
2012.5944,85.22646332,0.391657203,3.445820332,2.325999975
2012.7468,81.64651489,0.38625291,3.523812532,2.329999924
2012.8992,80.10883331,0.394530982,3.543923378,2.322999954
2013.0516,79.795578,0.388703376,3.661966801,2.325000048
2013.204,80.69000244,0.390068084,3.603505611,2.323999882
2013.3564,81.4982605,0.409585178,3.609595776,2.321000099
2013.5088,79.58030701,0.400156885,3.60124898,2.302000046
2013.6612,79.70815277,0.384167761,3.657241583,2.276000023
2013.8136,79.01968384,0.369433671,3.751347303,2.256000042
2013.966,77.48584747,0.366735131,3.809447527,2.25699997
2014.1184,77.65109253,0.385037005,3.67062211,2.269999981
2014.2708,77.02400208,0.378717065,3.566366911,2.28399992
2014.4232,78.55802155,0.37729317,3.461256504,2.280999899
2014.5756,80.37460327,0.356459409,3.543930292,2.290999889
2014.728,80.37560272,0.33798331,3.663901329,2.286999941
2014.8804,82.64581299,0.349077195,3.666168451,2.302999973
